,Player,SAVID,FGID,Team,Level,Age,K%,BB%,Brl%,Solid%,Flare%,Under%,Topped%,Weak%,PPA,HBPRate,SplitK_R,SplitK_L,SplitBB_R,SplitBB_L,SplitBrl_R,SplitBrl_L,SplitSolid_R,SplitSolid_L,SplitFlare_R,SplitFlare_L,SplitTopped_R,SplitTopped_L,SplitUnder_R,SplitUnder_L,SplitWeak_R,SplitWeak_L
85,Tanner Bibee,676440,30134,CLE,MLB,26.5,0.238,0.07,0.076,0.07,0.242,0.285,0.288,0.042,3.905,0.009,1.0116666666666665,0.9766666666666667,0.8926666666666667,1.1263333333333332,0.997,1.064,0.9796666666666666,1.0856666666666668,0.9686666666666667,1.031,1.0363333333333333,0.9356666666666666,0.9906666666666667,1.04,1.0133333333333332,0.8306666666666667
86,Joey Cantillo,676282,23335,CLE,MLB,25.7,0.241,0.111,0.077,0.069,0.249,0.231,0.316,0.043,3.905,0.006,0.967,1.05,0.997,0.972,1.085,0.824,1.058,0.843,1.023,0.977,0.949,1.094,1.029,0.926,0.862,1.374
87,Slade Cecconi,677944,27500,CLE,MLB,26.2,0.193,0.066,0.098,0.069,0.242,0.268,0.266,0.043,3.905,0.013,1.0096666666666665,0.9783333333333333,0.8983333333333333,1.1243333333333332,1.0133333333333334,1.048,0.9693333333333333,1.101,0.989,1.0106666666666666,1.0596666666666665,0.9073333333333333,0.9723333333333334,1.0603333333333333,0.9136666666666666,0.9339999999999999
88,Logan T. Allen,671106,27589,CLE,MLB,27.0,0.188,0.087,0.088,0.065,0.243,0.241,0.306,0.045,3.905,0.008,0.9666666666666667,1.086,0.993,1.0046666666666666,1.078,0.7746666666666666,1.0536666666666668,0.82,1.0186666666666666,0.9686666666666667,0.967,1.0576666666666668,1.006,1.0173333333333334,0.8886666666666666,1.3463333333333334
89,Cade Smith,671922,27867,CLE,MLB,26.3,0.324,0.066,0.073,0.071,0.245,0.257,0.311,0.041,3.905,0.019,0.9746666666666666,1.019,0.8896666666666667,1.1373333333333333,0.9883333333333334,1.081,1.0006666666666666,1.0703333333333334,0.9353333333333333,1.0816666666666666,1.046,0.9139999999999999,0.978,1.0583333333333333,1.2149999999999999,0.5473333333333333
90,Hunter Gaddis,683769,25636,CLE,MLB,27.4,0.255,0.066,0.081,0.071,0.237,0.339,0.249,0.041,3.905,0.018,1.0173333333333332,0.9696666666666667,0.9333333333333333,1.0863333333333332,0.976,1.091,1.0023333333333333,1.0656666666666668,1.0243333333333333,0.97,1.0493333333333332,0.9159999999999999,0.9633333333333334,1.0723333333333334,0.9226666666666666,0.9266666666666666
91,Erik Sabrowski,681870,24978,CLE,MLB,27.8,0.3,0.095,0.06,0.061,0.244,0.349,0.24,0.047,3.905,0.007,0.967,1.05,0.997,0.972,1.085,0.824,1.058,0.843,1.023,0.977,0.949,1.094,1.029,0.926,0.862,1.374
92,Nic Enright,663671,25553,CLE,MLB,28.6,0.233,0.093,0.074,0.059,0.24,0.301,0.317,0.04,4.136,0.005,1.015,0.967,0.898,1.132,1.02,1.072,1.025,1.074,0.981,1.019,1.015,0.942,0.993,1.053,0.944,0.821
93,Matthew Festa,670036,19330,CLE,MLB,32.5,0.249,0.086,0.077,0.056,0.246,0.312,0.252,0.047,3.905,0.015,1.0606666666666666,0.9053333333333333,0.9183333333333333,1.1076666666666666,0.9806666666666667,1.0886666666666667,1.004,1.065,0.9896666666666666,1.0096666666666665,0.9813333333333333,0.997,1.035,0.986,0.9,0.9586666666666666
94,Jakob Junis,596001,13619,CLE,MLB,32.9,0.192,0.058,0.081,0.065,0.247,0.245,0.312,0.042,3.905,0.012,1.035,0.9446666666666667,0.9013333333333333,1.1286666666666667,0.9986666666666667,1.0666666666666667,1.0273333333333332,1.0356666666666667,0.9713333333333333,1.033,1.0016666666666665,0.972,1.0263333333333333,0.9956666666666666,0.9653333333333333,0.8773333333333333
